State,Year,Commercial_Coal,Commercial_Natural_Gas,Commercial_Petroleum,Commercial_Distillate_Fuel_Oil,Commercial_Kerosene,Commercial_Wood,Commercial_Solar,Commercial_Wind,Commercial_Geothermal,Commercial_Hydropower,Electric_Power_Coal,Electric_Power_Natural Gas,Electric_Power_Distillate_Fuel_Oil,Electric_Power_Wood,Industrial_Coal,Industrial_Natural_Gas,Industrial_Petroleum,Industrial_Distillate_Fuel_Oil,Industrial_Kerosene,Industrial_Wood,Industrial_Solar,Industrial_Wind,Industrial_Geothermal,Industrial_Hydropower,Residential_Coal,Residential_Natural_Gas,Residential_Petroleum,Residential_Distillate_Fuel_Oil,Residential_Kerosene,Residential_Wood
Alaska,2010,8533,15998,12575,11111,92,299,0,0,74,0,5958,39963,2825,0,57,256892,56155,14180,2,39,0,0,0,0,0,18806,9359,8687,83,2302
Alaska,2011,9432,19647,11438,10060,104,288,0,0,88,0,5976,42344,3275,0,73,253842,63400,19095,2,111,0,0,0,0,0,20521,8682,8040,142,2232
Alaska,2012,9201,20135,9806,8541,79,252,0,0,85,0,6301,40266,2943,0,19,261160,63389,23392,1,111,0,0,0,0,0,21634,8362,7819,41,1865
Alaska,2013,8939,18711,7965,6743,27,292,0,0,85,0,5864,34003,3226,0,16,260132,61393,24346,1,111,0,0,0,0,0,19233,7312,6917,27,2434
Alaska,2014,8316,17942,8418,7287,16,305,0,0,85,0,9892,31986,2922,0,17,261256,55361,23176,2,114,0,0,0,0,0,17751,7075,6654,33,2463
Alaska,2015,8486,18491,10930,8756,17,862,0,0,85,0,11009,30230,3347,0,17,265996,51564,24013,1,114,0,0,0,0,0,18593,8163,7770,38,5889
Alaska,2016,6952,15970,7404,5951,21,1132,5,0,85,1552,9644,28232,4645,0,17,268421,48277,19902,1,114,0,0,0,0,0,17806,7581,7173,60,6389
Alaska,2017,7144,15355,7772,6568,0,996,6,0,85,1678,9214,28992,5068,0,18,279204,41045,11403,1,70,0,0,0,0,0,20000,8202,7755,0,5430
Alaska,2018,6931,14100,8696,7422,0,892,9,0,85,1599,10377,25364,4859,0,17,288131,33258,12271,0,70,0,0,0,0,0,18108,6855,6396,0,5942
Alaska,2019,6568,14365,8622,7309,0,801,11,0,85,1161,11035,24442,5016,0,17,297448,37406,9066,0,70,0,0,0,0,0,17698,6971,6574,0,5536
Alabama,2010,0,27492,9321,6569,12,929,3,0,0,0,649866,287408,1239,5215,68819,164057,69749,22246,86,138556,0,0,42,0,0,42872,9289,699,86,7149
Alabama,2011,0,25555,9864,6981,13,895,4,0,0,0,586053,349434,1080,4603,64979,173454,74079,23740,44,155192,0,0,42,0,0,37180,6008,62,70,6934
Alabama,2012,0,21896,8752,6471,5,784,9,0,0,0,474066,407721,815,3890,72938,193790,77598,30153,21,158929,0,0,42,0,0,28022,4326,104,15,5794
Alabama,2013,0,25734,6715,4236,14,908,25,0,0,0,488625,339804,626,4098,76426,201987,62604,23083,22,173097,0,0,42,0,0,35626,4791,89,15,7561
Alabama,2014,0,28124,6318,3900,17,946,26,0,0,0,488647,355113,1019,5041,87265,207914,58349,19862,21,163385,0,0,42,0,0,39842,5065,101,22,7652
Alabama,2015,0,25856,11215,4327,13,311,25,0,0,0,424833,410109,724,4550,69477,209554,63618,21783,26,156844,1,0,42,0,0,33653,5533,120,17,2123
Alabama,2016,0,24172,13225,4860,14,310,48,0,0,0,345578,425641,363,4810,64589,214096,68177,22823,22,155844,1,0,42,0,0,29155,5145,92,12,1749
Alabama,2017,0,23558,12196,4841,5,272,50,0,0,0,316065,391987,324,4711,62825,216675,65778,20479,11,161120,1,0,42,0,0,27077,4847,83,4,1484
Alabama,2018,0,27359,12801,4950,12,306,67,0,0,0,317234,443242,794,3384,59918,238755,63886,22837,18,161435,7,0,42,0,0,35669,5823,69,13,2038
Alabama,2019,0,25570,12410,4622,14,286,88,0,0,0,268395,430679,167,523,48785,236587,61581,20177,13,162162,9,0,42,0,0,31472,6068,23,11,1978
Arkansas,2010,0,40531,5747,3812,6,1336,11,0,0,0,286417,98514,318,1088,7272,89590,63334,33393,7,74685,0,0,7,0,0,36509,6134,55,31,10275
Arkansas,2011,0,40584,5126,3586,1,1286,14,0,0,0,300543,109196,469,1323,5576,93409,65379,30851,5,77673,0,0,7,0,0,34241,5133,58,12,9966
Arkansas,2012,0,41851,3745,2191,0,1126,19,0,0,0,291578,131825,305,1313,5154,89710,59625,29525,0,77744,0,0,12,0,0,26454,3849,25,5,8328
Arkansas,2013,0,48553,3506,2105,1,1306,23,0,0,0,322034,95845,374,1381,5065,96299,62706,32303,1,75715,0,0,12,0,0,35663,5123,24,7,10867
Arkansas,2014,0,51246,5148,3286,2,1360,23,0,0,0,333753,74137,260,2640,5461,97223,62016,29717,1,74245,0,0,12,0,0,38558,5011,31,16,10997
Arkansas,2015,0,48248,7798,3420,5,937,24,0,0,0,222218,113099,564,2670,4672,93078,49673,22360,5,68082,0,0,12,0,0,33463,4256,49,9,6398
Arkansas,2016,0,46382,6698,3075,5,918,28,0,0,0,241610,139024,416,3978,4827,94370,54754,20324,21,64684,0,0,12,0,0,27469,3279,75,7,5183
Arkansas,2017,0,48190,6725,3184,5,800,34,0,0,0,262907,130272,477,3261,4684,106092,50116,16373,12,66586,0,0,12,0,0,26080,2999,48,2,4361
Arkansas,2018,0,56224,7317,3401,14,1029,68,0,0,0,300080,155902,321,2895,4065,111919,51988,20287,17,65701,10,0,12,0,0,35466,4039,43,3,6851
Arkansas,2019,0,55846,7852,4001,16,998,173,0,0,0,235754,163318,449,2761,4045,110074,52784,19959,7,64256,30,0,12,0,0,34175,4103,4,4,6899
Arizona,2010,0,32479,8857,6928,4,400,592,0,42,0,447137,227944,678,2034,10772,19586,57539,28868,1,961,69,0,249,0,0,38445,4590,16,0,3074
Arizona,2011,0,33057,8816,6727,3,385,2164,0,50,0,449888,183896,556,2374,10021,22024,62265,32953,1,226,298,0,249,0,0,39094,5324,18,0,2981
Arizona,2012,0,32179,8508,6606,1,337,3161,0,48,0,411861,233668,437,2794,8709,23135,59569,32660,0,226,489,0,247,0,0,35693,3141,22,0,2491
Arizona,2013,0,33749,7974,5861,1,391,4078,0,48,0,450547,228437,465,2455,4318,22736,58817,33027,1,226,659,0,247,0,0,40729,3979,12,0,3251
Arizona,2014,0,31439,7877,5910,1,407,4812,0,48,0,442660,211640,624,3604,5189,23225,55492,29975,1,238,793,0,247,0,0,33442,4097,12,0,3290
Arizona,2015,0,31891,16963,6277,1,573,4886,0,48,0,380388,257855,532,3908,5434,21312,55808,25462,0,238,1369,0,247,0,0,36047,3514,6,0,3915
Arizona,2016,0,35423,16466,5001,1,574,4552,0,48,0,319810,264473,562,3870,4068,20589,62432,30543,1,238,1573,0,247,0,0,36579,4021,6,0,3240
Arizona,2017,0,32649,16626,5026,1,564,6070,0,48,0,329229,232643,615,3078,5283,20140,64061,33141,0,1299,153,0,247,0,0,34332,3942,7,0,3074
Arizona,2018,0,33073,16218,4533,0,650,6769,0,48,0,324958,296459,546,3499,6534,19932,59369,27827,0,1285,218,0,247,0,0,36517,4991,5,0,4330
Arizona,2019,0,35780,16716,3941,0,790,6909,0,48,0,251170,367765,717,3802,6557,19216,63270,29944,1,1285,123,0,247,0,0,43411,5549,2,2,5459
California,2010,0,253329,37429,27279,189,5199,5431,0,556,65,21776,755324,436,79022,33196,787410,392612,70470,69,25807,2272,0,1226,0,0,505530,33475,934,816,39988
California,2011,0,250867,34067,24180,144,5005,6836,0,659,45,19692,630122,365,69000,35572,767439,434956,77184,65,28507,3279,0,1226,0,0,522406,31320,628,625,38785
California,2012,0,258277,31630,21730,48,4384,9714,0,634,26,13153,876854,354,75213,30679,805491,411478,74834,33,27877,5247,1,1217,0,0,487614,23366,370,269,32410
California,2013,0,261502,29658,20122,43,5081,10955,10,634,50,6214,849409,357,74270,31938,850293,437756,74453,12,27486,6250,15,1217,0,0,494357,23630,551,257,42291
California,2014,0,244411,30359,19282,51,5294,13660,31,634,39,6866,858977,379,78215,32620,857807,422674,80077,96,24505,8000,16,1217,0,0,408754,19681,543,334,42800
California,2015,0,244468,79701,20982,47,3225,14378,50,634,32,0,833745,385,75669,30967,853080,424584,80541,21,23107,9750,37,1217,0,0,415935,21816,443,248,22025
California,2016,0,245346,83003,21149,78,3647,16847,57,634,113,0,688781,375,65909,32077,845763,440786,75647,19,24783,12812,49,1217,0,0,426390,23919,439,473,20589
California,2017,0,245783,84055,21509,57,3675,22621,54,634,175,0,621234,391,64914,33663,831737,444012,78061,6,23763,16214,45,1217,0,0,446314,22794,412,287,20030
California,2018,0,256345,85793,20776,45,3330,30370,52,634,99,0,635418,378,65681,33256,834480,439940,70291,4,23844,17288,46,1217,0,0,438159,24830,465,287,22176
California,2019,0,264692,86182,20026,46,3912,33643,53,634,120,0,587611,392,66766,30886,835569,427880,67158,4,24317,19708,46,1217,0,0,480485,26845,480,418,27045
Colorado,2010,6055,58642,7963,5823,26,1298,662,0,194,0,369089,95210,214,862,7479,208973,67406,21083,4,240,5,0,268,0,0,133463,12454,61,34,9985
Colorado,2011,3179,57579,8933,5853,19,1250,1068,54,230,0,362384,88084,248,893,3307,187114,58262,22608,4,354,9,29,268,0,0,134161,12075,84,10,9684
Colorado,2012,240,53756,6784,4580,7,1095,1343,52,221,0,363589,90079,133,850,6256,185647,57359,22949,2,354,12,32,266,0,0,120076,11232,77,5,8093
Colorado,2013,118,60782,6641,4390,10,1269,1477,50,221,67,355912,93978,105,1157,7502,181137,60743,24198,1,354,15,25,266,0,0,139516,13258,78,10,10560
